instance_id,state_hex,optimal_cost,algorithm,algo_params,heuristic,heuristic_params,h_start,solved,termination,solution_cost,suboptimality,nodes_expanded,nodes_generated,h_batches,h_states,h_time_s,wall_time_s,batch_size
0,8cdfb65a7391e024,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",36.00,1,solved,46,,22014,46622,12650,25814,2.2807,2.4849,1
1,65f87c9b3d421ae0,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",38.00,1,solved,50,,333468,699446,85302,166552,15.4556,17.5753,1
2,da4f3be0c9816275,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",42.00,1,solved,46,,824,1767,646,1305,0.1152,0.1238,1
3,eadbc6570128f394,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",32.00,1,solved,40,,1654,3625,858,1796,0.1527,0.1668,1
4,fa8170c92d653be4,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",32.00,1,solved,38,,814,1809,558,1205,0.0988,0.1066,1
5,da689174fe0523cb,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",42.00,1,solved,50,,25337,53125,15318,31100,2.7337,2.9628,1
6,fa38e9bc752460d1,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",34.00,1,solved,42,,4496,9789,2671,5582,0.4771,0.5186,1
7,0f6d73aeb8c51294,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",32.00,1,solved,38,,975,2120,738,1578,0.1308,0.1408,1
8,f5c2ad80eb714693,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",38.00,1,solved,44,,7793,16978,4128,8614,0.7226,0.7875,1
9,ea09fb7d1245386c,,idastar,"{""w"": 1.0}",pdb,"{""pdb_dir"": ""../phase1_data_generation/data/pdbs""}",34.00,1,solved,38,,548,1204,453,984,0.0792,0.0851,1
